unix,date,symbol,open,high,low,close,Volume JPY,Volume BTC
1648987200000,2022-04-03 12:00:00,BTC/JPY,5665599.99999954,5688100.00000046,5659999.99999994,5684100.00000057,9204225.785463922,1.61929343
1648983600000,2022-04-03 11:00:00,BTC/JPY,5658100.00000005,5675400.00000038,5646699.99999951,5675400.00000038,10187698.507056681,1.79506264
1648980000000,2022-04-03 10:00:00,BTC/JPY,5680899.99999992,5680899.99999992,5651199.99999969,5658300.00000017,17501191.723422527,3.09301234
1648976400000,2022-04-03 09:00:00,BTC/JPY,5674900.00000009,5687800.00000029,5657599.99999976,5680599.99999975,11384389.4021255,2.00408221
1648972800000,2022-04-03 08:00:00,BTC/JPY,5683600.00000028,5685800.00000034,5664300.00000001,5671200.00000037,7165286.430360468,1.26345155
1648969200000,2022-04-03 07:00:00,BTC/JPY,5690000.00000035,5691099.99999977,5672700.00000002,5680599.99999975,11328132.318503503,1.99417884
1648965600000,2022-04-03 06:00:00,BTC/JPY,5680283.92368003,5707700.00000017,5674699.99999997,5687900.00000034,49974859.01631599,8.78617047
1648962000000,2022-04-03 05:00:00,BTC/JPY,5680651.44480003,5683099.99999998,5665100.00000048,5679600.00000039,12582044.176548865,2.21530463
1648958400000,2022-04-03 04:00:00,BTC/JPY,5631700.00000053,5679999.9999994,5631700.00000053,5679999.9999994,12134090.904798718,2.13628361
1648954800000,2022-04-03 03:00:00,BTC/JPY,5610300.00000026,5634999.99999957,5604942.09408003,5631500.00000041,18124208.36243632,3.21836249
1648951200000,2022-04-03 02:00:00,BTC/JPY,5618050.34736003,5631999.99999948,5610400.00000031,5610900.00000061,6945236.040369755,1.23781141
1648947600000,2022-04-03 01:00:00,BTC/JPY,5644899.99999968,5645399.99999997,5577899.99999967,5619699.99999963,27847746.569527168,4.95537957
1648944000000,2022-04-03 00:00:00,BTC/JPY,5614800.00000044,5644899.99999968,5608600.00000049,5644899.99999968,25139139.06474357,4.45342505
1648940400000,2022-04-02 23:00:00,BTC/JPY,5647900.00000021,5652799.9999994,5610700.00000049,5613499.99999968,15168845.113214135,2.70220809
1648936800000,2022-04-02 22:00:00,BTC/JPY,5666930.65632003,5674800.00000003,5642799.99999968,5651299.99999975,6109594.320993731,1.08109538
1648933200000,2022-04-02 21:00:00,BTC/JPY,5656100.00000011,5676699.9999998,5626900.00000017,5667699.99999955,19472688.167892456,3.43573022
1648929600000,2022-04-02 20:00:00,BTC/JPY,5653499.99999981,5676199.99999962,5642599.99999956,5656400.00000028,29121539.744073447,5.14842298
